"","X","variable","value"
"110134","s7072","r3825",0.604422146261
"110574","s3517","r3839",0.521315661294
"112710","s1133","r3943",0.664136725899
"112711","s1210","r3943",0.522215160416
"112720","s2063","r3943",0.507249005653
"112778","s7971","r3943",0.675049023795
"112800","s9186","r3943",0.564934119965
"112837","s8923","r3943",0.701768046458
"112838","s9171","r3943",0.750186839986
"113613","s1668","r3985",0.500752855884
"113649","s4554","r3985",0.673606016162
"113689","s8555","r3985",0.644978127898
"113706","s9916","r3985",0.560377180392
"114972","s2499","r4045",0.533715026344
"114994","s4255","r4045",0.639305037606
"115035","s8548","r4045",0.561577972663
"115847","s704","r4116",0.502144238763
"115848","s891","r4116",0.503453553048
"115856","s1251","r4116",0.671839901149
"115858","s1668","r4116",0.739973262546
"115894","s4554","r4116",0.827252519133
"115925","s8345","r4116",0.61363832096
"115932","s8545","r4116",0.510509370444
"115934","s8555","r4116",0.732260088481
"115944","s9198","r4116",0.529368281704
"115949","s9712","r4116",0.651059831928
"115951","s9916","r4116",0.818716613137
"116343","s4554","r4119",0.583149524623
"116383","s8555","r4119",0.536427663754
"117771","s8332","r4144",0.528159434835
"118093","s891","r4154",0.692369319534
"118216","s7072","r4154",0.519730347833
"119105","s3517","r4255",0.630180008805
"120003","s3517","r4340",0.611281776455
"123040","s1251","r4554",0.620420371255
"123042","s1668","r4554",0.653102019948
"123078","s4554","r4554",0.790388063246
"123118","s8555","r4554",0.718991552364
"123128","s9198","r4554",0.526279963085
"123133","s9712","r4554",0.691865495513
"123135","s9916","r4554",0.7351130597
"124401","s2499","r4572",0.640721606894
"124423","s4255","r4572",0.712895886003
"124464","s8548","r4572",0.768027142038
"124494","s4007","r4572",0.53232421793
"125277","s891","r4597",0.560672541069
"125383","s1162","r4597",0.570114863162
"125770","s4255","r4654",0.519698379393
"125811","s8548","r4654",0.500702467154
"126694","s7391","r4693",0.550764278449
"129340","s2499","r4926",0.501784554795
"129362","s4255","r4926",0.632803253934
"129403","s8548","r4926",0.669393275234
"130216","s891","r4948",0.617550913665
"130226","s1668","r4948",0.507946602431
"130262","s4554","r4948",0.636273739094
"130302","s8555","r4948",0.577821652337
"130317","s9712","r4948",0.500417129734
"130319","s9916","r4948",0.570989738539
"130339","s7072","r4948",0.559634186103
"133364","s1133","r5171",0.515844188558
"133492","s9171","r5171",0.519607457034
"134279","s2499","r5205",0.637894404323
"134301","s4255","r5205",0.709347289527
"134302","s4340","r5205",0.517617593612
"134342","s8548","r5205",0.714397155736
"134372","s4007","r5205",0.540821002159
"135604","s891","r5502",0.632690796829
"135731","s8332","r5502",0.576147549715
"136058","s1133","r5575",0.540660892657
"136126","s7971","r5575",0.555418927115
"136185","s8923","r5575",0.526433791782
"136186","s9171","r5575",0.57160008165
"137874","s2642","r5603",0.534957222412
"137919","s7391","r5603",0.619427589432
"137970","s5338","r5603",0.59340343667
"140099","s1133","r5748",0.699603175221
"140100","s1210","r5748",0.516215019688
"140167","s7971","r5748",0.65269547551
"140189","s9186","r5748",0.545785460174
"140226","s8923","r5748",0.690316390416
"140227","s9171","r5748",0.735361271208
"140613","s7391","r5774",0.548984351001
"140664","s5338","r5774",0.626163246525
"142022","s8923","r5915",0.502309860995
"142023","s9171","r5915",0.514845034203
"145032","s704","r6081",0.533201628226
"145041","s1251","r6081",0.667839698045
"145043","s1668","r6081",0.717734876198
"145064","s3189","r6081",0.532601816272
"145079","s4554","r6081",0.868543256991
"145104","s7713","r6081",0.508811180019
"145110","s8345","r6081",0.627783705546
"145117","s8545","r6081",0.563066278912
"145119","s8555","r6081",0.774123824343
"145129","s9198","r6081",0.564188392094
"145134","s9712","r6081",0.642021140828
"145136","s9916","r6081",0.8336953345
"145941","s1668","r6164",0.563680271718
"145977","s4554","r6164",0.721443950093
"146017","s8555","r6164",0.679201375735
"146027","s9198","r6164",0.529391169703
"146032","s9712","r6164",0.567757229985
"146034","s9916","r6164",0.640339723154
"146834","s1133","r6297",0.539068130956
"146902","s7971","r6297",0.595008045179
"146961","s8923","r6297",0.595058513631
"146962","s9171","r6297",0.612604384172
"147410","s8923","r6303",0.508632977125
"147411","s9171","r6303",0.522367232349
"149972","s891","r6457",0.540758871006
"150095","s7072","r6457",0.500285591331
"150099","s8332","r6457",0.719039646384
"150431","s1668","r6630",0.524956018477
"150467","s4554","r6630",0.684388701893
"150507","s8555","r6630",0.683935469597
"150517","s9198","r6630",0.550017327655
"150522","s9712","r6630",0.569222292277
"150524","s9916","r6630",0.562933552394
"152736","s7391","r6729",0.547737680237
"154911","s891","r6961",0.645383545353
"154919","s1251","r6961",0.521980381943
"154921","s1668","r6961",0.654755505774
"154942","s3189","r6961",0.521262102093
"154957","s4554","r6961",0.809243280769
"154960","s4597","r6961",0.500898646919
"154982","s7713","r6961",0.533909639203
"154988","s8345","r6961",0.506639164977
"154995","s8545","r6961",0.579326942476
"154997","s8555","r6961",0.741454889871
"155007","s9198","r6961",0.625538653501
"155012","s9712","r6961",0.649681209436
"155014","s9916","r6961",0.742849134954
"159515","s3517","r7315",0.584952409758
"161222","s2642","r7391",0.651221047424
"161251","s5603","r7391",0.525426069052
"161267","s7391","r7391",0.756246842152
"161294","s9327","r7391",0.537626917363
"161318","s5338","r7391",0.741725301161
"163891","s891","r7713",0.660333788166
"163899","s1251","r7713",0.587215966563
"163901","s1668","r7713",0.643975446745
"163937","s4554","r7713",0.735190513972
"163940","s4597","r7713",0.590515185109
"163968","s8345","r7713",0.656837220638
"163975","s8545","r7713",0.622950396327
"163977","s8555","r7713",0.630839957922
"163992","s9712","r7713",0.564471624841
"163994","s9916","r7713",0.735059331128
"164014","s7072","r7713",0.512470767474
"164345","s1133","r7714",0.504087301715
"164472","s8923","r7714",0.509355151068
"164473","s9171","r7714",0.526667314708
"166585","s891","r7839",0.552793645184
"166593","s1251","r7839",0.552066241798
"166595","s1668","r7839",0.662602140629
"166631","s4554","r7839",0.805636131228
"166662","s8345","r7839",0.52369023164
"166671","s8555","r7839",0.72360651725
"166681","s9198","r7839",0.51895613424
"166686","s9712","r7839",0.614797669082
"166688","s9916","r7839",0.773964631924
"167488","s1133","r7869",0.507600493217
"167556","s7971","r7869",0.559352916009
"167615","s8923","r7869",0.538852758622
"167616","s9171","r7869",0.573536354002
"168835","s1133","r7971",0.697375571691
"168836","s1210","r7971",0.543857934749
"168903","s7971","r7971",0.678004503992
"168925","s9186","r7971",0.546711164487
"168962","s8923","r7971",0.697964601747
"168963","s9171","r7971",0.705846098304
"169284","s1133","r8064",0.535278992908
"169352","s7971","r8064",0.60012400211
"169411","s8923","r8064",0.612132779261
"169412","s9171","r8064",0.621840122562
"171119","s4255","r8166",0.564078467069
"171160","s8548","r8166",0.54858111559
"171529","s1133","r8187",0.504075369056
"171597","s7971","r8187",0.512163847383
"171656","s8923","r8187",0.522134534454
"171657","s9171","r8187",0.541733244258
"171995","s2499","r8213",0.68473546467
"172017","s4255","r8213",0.746619045982
"172018","s4340","r8213",0.514609782493
"172058","s8548","r8213",0.774965501776
"172088","s4007","r8213",0.522416872758
"172427","s1133","r8251",0.522983749612
"172495","s7971","r8251",0.62275574608
"172554","s8923","r8251",0.592646565446
"172555","s9171","r8251",0.630242180037
"172944","s7971","r8262",0.532095720241
"173003","s8923","r8262",0.530416640953
"173004","s9171","r8262",0.547251432191
"173328","s1251","r8345",0.723888627082
"173330","s1668","r8345",0.782122179515
