"";"psv10";"psf4";"psf8";"pff5";"pfv12";"pff6";"psv8";"pff12";"psv9";"pfv10";"pev2";"pfv13";"tax"
"otu1251";180;0;411;4;0;2;0;0;2;34;0;1;"f:Tulasnellaceae"
"otu1456";0;0;0;0;0;0;2;0;2;0;0;0;"f:Ceratobasidiaceae"
"otu1615";0;0;0;0;0;0;0;0;0;0;0;1;"f:Spizellomycetaceae"
"otu1668";49;24;106;1;14;0;0;0;0;6;1;9;"f:Tulasnellaceae"
"otu1706";0;0;0;0;0;0;0;0;0;0;0;2;"unidentified"
"otu1725";4;1;1;0;0;0;0;0;0;0;0;1;"f:Tulasnellaceae"
"otu1860";0;0;1;0;0;0;0;0;0;0;0;0;"f:Tulasnellaceae"
"otu1924";0;0;0;0;0;0;1;0;2;1;0;0;"f:Ceratobasidiaceae"
"otu2048";0;0;0;0;0;0;0;0;0;0;5;0;"f:Trimorphomycetaceae"
"otu2109";0;0;0;44;0;1;0;61;0;0;0;0;"f:Ceratobasidiaceae"
"otu2124";0;2;0;0;0;0;0;0;0;0;0;0;"f:Tulasnellaceae"
"otu2338";0;0;0;0;0;0;0;0;0;1;0;0;"unidentified"
"otu2408";0;0;0;1;0;0;0;0;0;0;0;0;"f:Strophariaceae"
"otu2607";0;0;0;0;0;0;0;0;0;0;1;1;"unidentified"
"otu2642";1;0;0;0;0;0;0;0;1;0;0;0;"f:Ceratobasidiaceae"
"otu2659";0;0;0;3;0;0;0;0;0;0;0;0;"unidentified"
"otu2981";0;1;0;0;0;0;0;0;0;0;0;0;"f:Tulasnellaceae"
"otu3045";0;0;0;0;0;0;0;0;11;0;0;0;"f:Ceratobasidiaceae"
"otu3108";0;0;0;0;0;0;0;0;0;1;0;0;"f:Tulasnellaceae"
"otu3142";0;0;2;0;0;0;0;0;0;0;1;0;"f:Tulasnellaceae"
"otu3180";0;0;0;0;0;0;0;0;0;0;0;3;"unidentified"
"otu3189";11;2;29;0;2;0;0;1;0;0;0;3;"f:Tulasnellaceae"
"otu3221";0;0;0;0;0;0;0;0;0;0;1;0;"f:Tulasnellaceae"
"otu3226";0;0;0;0;0;0;0;0;0;0;1;0;"f:Umbelopsidaceae"
"otu3463";0;0;0;9;0;0;0;0;0;0;0;0;"unidentified"
"otu3548";0;0;0;0;0;0;0;0;9;0;0;0;"f:Ceratobasidiaceae"
"otu3586";0;0;0;1;0;0;0;0;0;0;0;0;"f:Inocybaceae"
"otu3634";0;0;2;0;0;0;0;0;0;0;0;0;"f:Tulasnellaceae"
"otu3725";0;0;0;0;0;0;0;1;0;0;0;0;"unidentified"
"otu3825";0;0;0;0;0;0;0;2;0;0;0;0;"f:Tulasnellaceae"
"otu3883";0;0;2;0;1;0;0;0;0;0;0;0;"f:Tulasnellaceae"
"otu3985";0;0;2;0;2;0;0;1;0;0;0;0;"f:Tulasnellaceae"
"otu4030";0;0;1;0;0;0;0;0;0;0;0;0;"f:Tulasnellaceae"
"otu4033";0;0;0;0;0;0;0;0;1;0;0;0;"f:Ceratobasidiaceae"
"otu4116";4;6;6;0;4;2;0;2;0;6;0;1;"f:Tulasnellaceae"
"otu4119";0;0;1;0;0;0;0;0;0;0;0;0;"f:Tulasnellaceae"
"otu4154";1;0;0;0;0;2;0;0;0;0;1;0;"f:Tulasnellaceae"
"otu4291";0;0;0;0;0;0;0;0;0;1;0;0;"unidentified"
"otu4447";0;0;0;0;0;0;0;0;1;0;0;0;"f:Ceratobasidiaceae"
"otu4470";0;0;0;0;0;0;0;0;0;1;0;0;"unidentified"
"otu4546";0;0;0;1;0;0;0;0;0;0;0;0;"f:Ceratobasidiaceae"
